objID,ra,dec,z,lgm_tot_p50,sfr_tot_p50,oh_p50
1237662303513870499,230.702001132195,43.7734812435507,0.03935512,9.114586,-0.4594487,8.447926
1237661435383906423,191.145273005581,48.1009901357876,0.03849484,9.272456,-0.08372077,8.654984
1237665368507809875,169.849717021206,31.5521802135043,0.04576563,9.54773,-0.03622665,8.712602
1237659144021540943,211.532771582396,55.9680685739514,0.04108065,9.508299,-0.3574073,8.469175
1237662237487399271,233.302120352906,6.48567693251319,0.04177524,10.18385,0.3077019,9.072467
1237654606396653753,153.551588349067,5.00259918471779,0.04623335,9.931902,-0.186519,8.929841
1237655742950867276,238.105361852794,3.72273476637939,0.0334572,10.01508,-0.2939471,9.049674
1237671957519007926,205.51537946127,1.52846350290429,0.03328604,9.480581,-0.4849397,8.688217
1237658300069118032,154.409452958543,6.97636173038287,0.04663238,9.771987,-0.2018815,8.865659
1237662698114187607,245.538621456704,21.2194398891869,0.03207018,10.06647,-0.1408669,8.828396
1237661383310442585,148.473257102759,36.552842745752,0.04976831,10.18447,0.4899672,9.045754
1237665532260712673,241.886916324471,16.2138975192792,0.03062523,10.23997,0.2315218,8.98701
1237673809190257137,117.375136905272,18.1766926611408,0.04689433,9.882907,0.02590371,8.990008
1237655469672825144,228.770453852903,2.23809253234421,0.03978958,9.835902,-0.4892009,8.989462
1237665567155355839,241.375915854346,15.3738947870977,0.03516508,10.41386,0.7032393,9.127222
1237651190286975087,139.847087625802,55.5269768173466,0.03178725,9.488554,-0.1854293,8.663905
1237665532262089065,244.871861902384,15.0834107653419,0.03469575,9.687561,-0.163024,8.90111
1237662638514896965,221.915079416472,13.3633840856937,0.0442869,9.494625,0.3284211,8.685249
1237671124305641587,153.770977791856,15.2345546838854,0.03218142,9.280397,-0.5005296,8.874652
1237665128008384635,188.71380616336,34.628606504572,0.04016031,10.11011,0.2241052,9.139481
1237658300599763091,140.028958348212,6.28378176697071,0.03112985,9.702541,-0.5441556,8.777306
1237660635456143500,149.924107682234,41.7167120033124,0.03545798,9.164762,-0.2893482,8.618248
1237667782829277319,171.521554250796,22.0570463518412,0.04049988,9.605658,-0.7376623,8.869117
1237649918971805863,29.2126080640556,13.0645696872537,0.03308931,9.367886,-0.1403226,8.698713
1237667734513647724,196.715513404223,21.6094588323044,0.03282597,9.967352,-0.1454546,9.013855
1237654881799503994,189.152115105698,6.10443250555406,0.04219154,9.630514,-0.2693054,8.910034
1237651736302649489,200.193831198429,2.27002362491763,0.03627566,10.0991,-0.4244807,8.715337
1237664853652340920,235.472405225342,26.493973899286,0.04439805,10.33945,-0.06483494,8.952804
1237648705124696302,207.984932188032,0.551109818210886,0.04816078,10.17131,0.2053694,8.951815
1237668624627793949,196.312234501668,17.4723636023604,0.03414443,10.00602,0.1558982,9.035078
1237662307265806423,222.099307020144,36.7537535222961,0.03338841,9.794667,0.02193167,8.803639
1237667782809878711,126.048324395631,12.1157369921998,0.03213431,9.888191,0.1212018,9.010329
1237663546907951401,140.931258020791,62.5663794084266,0.04165838,9.713006,-0.184935,8.884932
1237661465993937148,251.88642787429,24.6588670853646,0.04469818,9.28897,0.1241979,8.611937
1237662640122495196,244.456624751615,25.8648776805673,0.04064228,10.25199,-0.2368902,8.963522
1237671126980624631,180.061329088813,4.23494087532306,0.04462424,10.17654,0.2235467,8.948229
1237665533321543752,211.862712587736,26.0738922528394,0.03972467,10.15328,0.08617317,9.057074
1237655464852717724,228.27399081845,54.5212840314834,0.03870715,10.45194,0.2846155,9.125569
1237658300601204773,143.311271109529,6.52237768382145,0.0319973,9.754161,-0.06053694,9.109774
